# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	2087
#@/user_id	eb2c6107-ebb4-4c05-bd07-3d45f5d9a1d5
a 	啊	c=2 d=1.94649 t=2087
cuo wei 	錯位	c=1 d=0.67497 t=2087
cuo wei xian xiang 	錯位現象	c=1 d=0.985112 t=2087
cuo wu 	錯誤	c=2 d=1.0715 t=2087
da kai 	打開	c=1 d=0.852144 t=2087
da xiao 	大小	c=0 d=0.0995012 t=2087
dai li 	代理	c=1 d=0.927743 t=2087
dai ma 	代碼	c=8 d=5.88259 t=2087
dan hang 	單行	c=3 d=1.20784 t=2087
dan shi 	但是	c=4 d=2.76366 t=2087
dan xuan 	單選	c=0 d=0.0494109 t=2087
dan xuan kuang 	單選框	c=2 d=1.2715 t=2087
dang 	當	c=2 d=1.66584 t=2087
dang qia 	當卡	c=1 d=0.965605 t=2087
dang qian 	當前	c=6 d=3.87441 t=2087
dang wo 	當我	c=2 d=1.80977 t=2087
dao 	到	c=9 d=4.76875 t=2087
dao na 	到哪	c=1 d=0.995012 t=2087
dao you 	到右	c=1 d=0.701173 t=2087
dao zhi 	導致	c=2 d=0.777005 t=2087
de 	的	c=180 d=24.6418 t=2087
den 	㩐	c=1 d=0.729789 t=2087
deng 	等	c=14 d=3.83352 t=2087
deng kuan 	等寬	c=1 d=0.927743 t=2087
deng lu 	登錄	c=2 d=1.97521 t=2087
deng xiao guo 	等效果	c=1 d=0.955997 t=2087
deng xin xi 	等信息	c=1 d=0.755784 t=2087
di bu 	底部	c=1 d=0.367879 t=2087
di er zhong 	第二種	c=1 d=0.496585 t=2087
di yi ge 	第一個	c=1 d=0.918512 t=2087
di yi zhong 	第一種	c=1 d=0.458406 t=2087
di zhi 	地址	c=2 d=1.72048 t=2087
dian 	點	c=1 d=0.726149 t=2087
dian ji 	點擊	c=0 d=0.0367879 t=2087
dian ji hou 	點擊後	c=1 d=0.369723 t=2087
diao yong 	調用	c=4 d=2.00785 t=2087
ding yi 	定義	c=1 d=0.99005 t=2087
ding zhi 	定製	c=1 d=0.923116 t=2087
dong hua 	動畫	c=6 d=2.24342 t=2087
dong hua xiao guo 	動畫效果	c=2 d=1.42284 t=2087
dou 	都	c=1 d=0.927743 t=2087
dou yao 	都要	c=2 d=0.904837 t=2087
dou you 	都有	c=1 d=0.970446 t=2087
du qu 	讀取	c=0 d=0.0960789 t=2087
du qu qi 	讀取器	c=3 d=2.85513 t=2087
dui 	對	c=1 d=0.790571 t=2087
dui qi 	對齊	c=2 d=1.52744 t=2087
dui xiang 	對象	c=7 d=3.13855 t=2087
dui xiang mu 	對項目	c=1 d=0.537944 t=2087
duo ge 	多個	c=1 d=0.909373 t=2087
duo zhong 	多種	c=1 d=0.666977 t=2087
e wai 	額外	c=1 d=0.718924 t=2087
er 	而	c=4 d=2.41403 t=2087
er ji huan cun 	二級緩存	c=2 d=1.25982 t=2087
fa song 	發送	c=4 d=1.42457 t=2087
fa song qing qiu 	發送請求	c=2 d=0.909373 t=2087
fa song qing qiu hou 	發送請求後	c=1 d=0.373439 t=2087
fa xian 	發現	c=5 d=2.58425 t=2087
